p_value,run,p_value_constrained,type,nu2,sigma_constrained,nu1,alpha_constrained,x_min,alpha,sigma
0.6984,49,0.0056,control,0.4,0.0606312109539,0.0,2.57524506845,3.0,2.76818573814,0.0958933354209
0.5664,50,0.5904,control,0.4,0.0592022391994,0.0,2.51978040459,2.0,2.51978040459,0.0592022391994
0.2096,51,0.2516,control,0.4,0.0595819764273,0.0,2.53993764783,2.0,2.53993764783,0.0595819764273
0.0092,52,0.028,control,0.4,0.0589875781387,0.0,2.51081916515,2.0,2.51081916515,0.0589875781387
0.3636,53,0.0012,control,0.4,0.0573831618343,0.0,2.50514622423,3.0,2.69839314819,0.0895131785117
0.8856,54,0.0396,control,0.4,0.0587921133793,0.0,2.51724664728,3.0,2.65141473757,0.0898251199608
0.4936,55,0.0072,control,0.4,0.0584351422273,0.0,2.50463399425,3.0,2.67634106568,0.0903822529734
0.3256,56,0.0704,control,0.4,0.0587359512345,0.0,2.5237423516,5.0,2.80131767363,0.15169831393
0.24,57,0.2712,control,0.4,0.0597541682908,0.0,2.56391624784,2.0,2.56391624784,0.0597541682908
0.1244,58,0.008,control,0.4,0.057546851873,0.0,2.47167002584,3.0,2.63355961731,0.0880756318637
0.4788,59,0.0984,control,0.4,0.0589377802866,0.0,2.52328795024,3.0,2.63650040235,0.0894115683672
0.2228,60,0.2624,control,0.4,0.0595069499886,0.0,2.52412157507,2.0,2.52412157507,0.0595069499886
0.704,61,0.0452,control,0.4,0.0585173446347,0.0,2.49305258937,6.0,2.88399002994,0.187464014577
0.4176,62,0.4504,control,0.4,0.0609540491549,0.0,2.57067597421,2.0,2.57067597421,0.0609540491549
0.7024,63,0.3924,control,0.4,0.0598741122797,0.0,2.54400929358,3.0,2.62114738607,0.0899250773163
0.466,64,0.0016,control,0.4,0.0566478807833,0.0,2.45420748168,5.0,2.94016258203,0.158413611467
0.7736,65,0.0128,control,0.4,0.058060673015,0.0,2.51069363717,5.0,2.90922868332,0.158552812157
0.1328,66,0.182,control,0.4,0.0592697366673,0.0,2.5261237882,2.0,2.5261237882,0.0592697366673
0.9228,67,0.9304,control,0.4,0.0616217768638,0.0,2.57828757196,2.0,2.57828757196,0.0616217768638
0.3204,68,0.364,control,0.4,0.0600564532295,0.0,2.52169353118,2.0,2.52169353118,0.0600564532295
0.068,69,0.0164,control,0.4,0.0588075869673,0.0,2.52899726115,3.0,2.68484944897,0.0908409942565
0.4092,70,0.4216,control,0.4,0.0585889418275,0.0,2.49373078829,2.0,2.49373078829,0.0585889418275
0.5024,71,0.0236,control,0.4,0.0578471082194,0.0,2.48724453985,5.0,2.90129753549,0.157352503636
0.5224,72,0.3584,control,0.4,0.0599078650154,0.0,2.55529863497,3.0,2.63582593038,0.0903233769425
0.0132,73,0.0392,control,0.4,0.0599796786587,0.0,2.58009744171,2.0,2.58009744171,0.0599796786587
0.2968,74,0.054,control,0.4,0.0587739173443,0.0,2.50190073043,3.0,2.62846445223,0.0892393022697
0.6472,75,0.2248,control,0.4,0.0586025634571,0.0,2.4952269222,3.0,2.58572105973,0.0875567982776
0.7924,76,0.022,control,0.4,0.0593913668977,0.0,2.50718392823,3.0,2.65182335817,0.0909298831868
0.0544,77,0.088,control,0.4,0.0610017140689,0.0,2.56953510219,2.0,2.56953510219,0.0610017140689
0.6652,78,0.0488,control,0.4,0.0582683638464,0.0,2.50823920218,4.0,2.79994755782,0.122755404577
0.3348,79,0.0152,control,0.4,0.0594853476701,0.0,2.52240658655,3.0,2.68202522036,0.0918988548792
0.324,80,0.0092,control,0.4,0.0603258635644,0.0,2.58692570457,3.0,2.76145052793,0.0949710476439
0.0088,81,0.0332,control,0.4,0.0589794492104,0.0,2.52322349353,2.0,2.52322349353,0.0589794492104
0.3648,82,0.4096,control,0.4,0.0597183801279,0.0,2.53419296393,2.0,2.53419296393,0.0597183801279
0.436,83,0.1316,control,0.4,0.0583512793976,0.0,2.49224199177,3.0,2.59642961087,0.0876154574312
0.5464,84,0.3284,control,0.4,0.0601107281025,0.0,2.53134955573,3.0,2.61440352242,0.0902479004809
0.7488,85,0.76,control,0.4,0.0609991201522,0.0,2.59066244325,2.0,2.59066244325,0.0609991201522
0.4012,86,0.0124,control,0.4,0.058437021059,0.0,2.52944320579,6.0,2.81600176506,0.187306280373
0.9128,87,0.0,control,0.4,0.0586106304177,0.0,2.51369825284,4.0,2.59716134607,0.118065564016
0.718,88,0.034,control,0.4,0.0596384458506,0.0,2.55174606147,3.0,2.69005383919,0.0919268100201
0.5144,89,0.0924,control,0.4,0.0594837096325,0.0,2.54084624753,5.0,2.92742095726,0.162896802268
0.624,90,0.6404,control,0.4,0.0614908739797,0.0,2.60584215023,2.0,2.60584215023,0.0614908739797
0.4916,91,0.0004,control,0.4,0.0578041442952,0.0,2.51728997173,3.0,2.76661124602,0.0923422490997
0.5124,92,0.5276,control,0.4,0.0595952598942,0.0,2.54143344204,2.0,2.54143344204,0.0595952598942
0.3364,93,0.0444,control,0.4,0.0604579750769,0.0,2.56374759984,3.0,2.70256226046,0.0934402433031
0.724,94,0.0004,control,0.4,0.0576341642845,0.0,2.49293623944,3.0,2.71135310071,0.0905744108919
0.3896,95,0.1076,control,0.4,0.0582021310263,0.0,2.47010794833,3.0,2.57711708092,0.0870817230223
0.9004,96,0.0044,control,0.4,0.0600062657075,0.0,2.55090369957,3.0,2.73684107772,0.0941934325372
0.9036,97,0.2944,control,0.4,0.0591835735507,0.0,2.53763434545,3.0,2.62226096153,0.0890331369762
0.2388,98,0.2816,control,0.4,0.0600347448589,0.0,2.52587489701,2.0,2.52587489701,0.0600347448589
0.3416,99,0.3892,control,0.4,0.0583125844001,0.0,2.51050980868,2.0,2.51050980868,0.0583125844001
0.5424,0,0.0008,control,0.6,0.0586004640277,0.0,2.52361206472,3.0,2.73742443162,0.0924737717289
0.3148,1,0.3716,control,0.6,0.0592939581025,0.0,2.52328936467,2.0,2.52328936467,0.0592939581025
0.2392,2,0.0836,control,0.6,0.0584562574675,0.0,2.4834535112,3.0,2.59885424884,0.0880140296847
0.8528,3,0.0004,control,0.6,0.0595401011576,0.0,2.56512342622,3.0,2.80396885863,0.095610158287
0.1144,4,0.1664,control,0.6,0.0576702238559,0.0,2.50053445317,2.0,2.50053445317,0.0576702238559
0.4152,5,0.0156,control,0.6,0.0578746578181,0.0,2.47892117419,3.0,2.63297863681,0.0884307510817
0.0556,6,0.0092,control,0.6,0.0577062615833,0.0,2.49257443591,3.0,2.65466274073,0.0886992332634
0.0216,7,0.0448,control,0.6,0.0606797000737,0.0,2.56948252449,2.0,2.56948252449,0.0606797000737
0.242,8,0.294,control,0.6,0.0595284609387,0.0,2.52931385161,2.0,2.52931385161,0.0595284609387
0.3564,9,0.048,control,0.6,0.0576815028909,0.0,2.47285626108,5.0,2.80687616822,0.150052898426
0.844,10,0.0104,control,0.6,0.0585420681358,0.0,2.54333591626,4.0,2.80327908092,0.124735422266
0.1328,11,0.0172,control,0.6,0.0581527540547,0.0,2.49170599152,3.0,2.6368001216,0.0887679499341
0.7304,12,0.7452,control,0.6,0.0617556818995,0.0,2.57567779851,2.0,2.57567779851,0.0617556818995
0.8384,13,0.0032,control,0.6,0.0577754834997,0.0,2.48090184223,4.0,2.8112291338,0.124103375339
0.1008,14,0.136,control,0.6,0.0582739218505,0.0,2.49026369444,2.0,2.49026369444,0.0582739218505
0.6772,15,0.0992,control,0.6,0.0596823489554,0.0,2.56431523923,3.0,2.68232783493,0.0915065707888
0.6772,16,0.6892,control,0.6,0.0602078375969,0.0,2.56887346137,2.0,2.56887346137,0.0602078375969
0.5024,17,0.0132,control,0.6,0.0597739837331,0.0,2.516893655,3.0,2.68159513648,0.0924288278986
0.532,18,0.0104,control,0.6,0.0580878670486,0.0,2.4820945969,3.0,2.64044363788,0.0889655473478
0.5832,19,0.0,control,0.6,0.0584638549196,0.0,2.51216961355,3.0,2.78826416504,0.0942497969932
0.6244,20,0.0004,control,0.6,0.0588737300035,0.0,2.50445132962,3.0,2.73602555092,0.0931947345092
0.0952,21,0.1536,control,0.6,0.0578022976975,0.0,2.49617537902,2.0,2.49617537902,0.0578022976975
0.4892,22,0.5116,control,0.6,0.0603331479311,0.0,2.54410431132,2.0,2.54410431132,0.0603331479311
0.1,23,0.0272,control,0.6,0.0582179955577,0.0,2.52148473854,3.0,2.66362529047,0.0893080848871
0.4848,24,0.5116,control,0.6,0.0614047470952,0.0,2.58704842433,2.0,2.58704842433,0.0614047470952
0.7588,25,0.0312,control,0.6,0.0580881731075,0.0,2.48551346313,4.0,2.74985203541,0.120751262358
0.8116,26,0.8244,control,0.6,0.0604487792311,0.0,2.53996156995,2.0,2.53996156995,0.0604487792311
0.2316,27,0.02,control,0.6,0.0580595755099,0.0,2.51289484611,4.0,2.79299553001,0.122854029393
0.006,28,0.0284,control,0.6,0.0584534507802,0.0,2.49827950718,2.0,2.49827950718,0.0584534507802
0.61,29,0.0204,control,0.6,0.0581337405575,0.0,2.50138193167,4.0,2.78236536883,0.122413356113
0.0228,30,0.0592,control,0.6,0.057623224409,0.0,2.48931233869,2.0,2.48931233869,0.057623224409
0.3472,31,0.0052,control,0.6,0.0587227631086,0.0,2.49252887342,3.0,2.66879463375,0.0907704616869
0.0788,32,0.118,control,0.6,0.0585859324266,0.0,2.52210717357,2.0,2.52210717357,0.0585859324266
0.448,33,0.0308,control,0.6,0.059303950801,0.0,2.52700476062,3.0,2.67015363727,0.0911143507739
0.6852,34,0.724,control,0.6,0.0595580857558,0.0,2.54277286191,2.0,2.54277286191,0.0595580857558
0.1032,35,0.1432,control,0.6,0.0596180824792,0.0,2.56717331177,2.0,2.56717331177,0.0596180824792
0.056,36,0.0,control,0.6,0.0570463503896,0.0,2.48430174992,3.0,2.71018344695,0.0897613521327
0.962,37,0.9592,control,0.6,0.0597946484161,0.0,2.54427710795,2.0,2.54427710795,0.0597946484161
0.5328,38,0.5536,control,0.6,0.0601026341491,0.0,2.56958808698,2.0,2.56958808698,0.0601026341491
0.6692,39,0.0136,control,0.6,0.0593428888818,0.0,2.50712245927,4.0,2.76214104734,0.12102434401
0.154,40,0.0224,control,0.6,0.0579216370981,0.0,2.47558141512,3.0,2.61898413405,0.0880611276785
0.6528,41,0.066,control,0.6,0.0598036974167,0.0,2.50937708249,3.0,2.63156632277,0.0907827786346
0.348,42,0.3836,control,0.6,0.0604750263832,0.0,2.56418863247,2.0,2.56418863247,0.0604750263832
0.2852,43,0.0732,control,0.6,0.0584479423721,0.0,2.5140160766,3.0,2.63333843911,0.0887107669182
0.042,44,0.0712,control,0.6,0.0568425647696,0.0,2.45809765708,2.0,2.45809765708,0.0568425647696
0.6912,45,0.6924,control,0.6,0.0611948456484,0.0,2.57093259539,2.0,2.57093259539,0.0611948456484
0.66,46,0.002,control,0.6,0.0598588848662,0.0,2.55171964526,3.0,2.75376222084,0.0945565219065
0.892,47,0.0364,control,0.6,0.0579299357746,0.0,2.47919981854,4.0,2.73823972603,0.11854696538
0.688,48,0.0,control,0.6,0.0581988954222,0.0,2.52765171886,3.0,2.77065753304,0.0929354184855
0.6984,49,0.0056,control,0.6,0.0606312109539,0.0,2.57524506845,3.0,2.76818573814,0.0958933354209
0.5664,50,0.5904,control,0.6,0.0592022391994,0.0,2.51978040459,2.0,2.51978040459,0.0592022391994
0.2096,51,0.2516,control,0.6,0.0595819764273,0.0,2.53993764783,2.0,2.53993764783,0.0595819764273
0.0092,52,0.028,control,0.6,0.0589875781387,0.0,2.51081916515,2.0,2.51081916515,0.0589875781387
0.3636,53,0.0012,control,0.6,0.0573831618343,0.0,2.50514622423,3.0,2.69839314819,0.0895131785117
0.8856,54,0.0396,control,0.6,0.0587921133793,0.0,2.51724664728,3.0,2.65141473757,0.0898251199608
0.4936,55,0.0072,control,0.6,0.0584351422273,0.0,2.50463399425,3.0,2.67634106568,0.0903822529734
0.3256,56,0.0704,control,0.6,0.0587359512345,0.0,2.5237423516,5.0,2.80131767363,0.15169831393
0.24,57,0.2712,control,0.6,0.0597541682908,0.0,2.56391624784,2.0,2.56391624784,0.0597541682908
0.1244,58,0.008,control,0.6,0.057546851873,0.0,2.47167002584,3.0,2.63355961731,0.0880756318637
0.4788,59,0.0984,control,0.6,0.0589377802866,0.0,2.52328795024,3.0,2.63650040235,0.0894115683672
0.2228,60,0.2624,control,0.6,0.0595069499886,0.0,2.52412157507,2.0,2.52412157507,0.0595069499886
0.704,61,0.0452,control,0.6,0.0585173446347,0.0,2.49305258937,6.0,2.88399002994,0.187464014577
0.4176,62,0.4504,control,0.6,0.0609540491549,0.0,2.57067597421,2.0,2.57067597421,0.0609540491549
0.7024,63,0.3924,control,0.6,0.0598741122797,0.0,2.54400929358,3.0,2.62114738607,0.0899250773163
0.466,64,0.0016,control,0.6,0.0566478807833,0.0,2.45420748168,5.0,2.94016258203,0.158413611467
0.7736,65,0.0128,control,0.6,0.058060673015,0.0,2.51069363717,5.0,2.90922868332,0.158552812157
0.1328,66,0.182,control,0.6,0.0592697366673,0.0,2.5261237882,2.0,2.5261237882,0.0592697366673
0.9228,67,0.9304,control,0.6,0.0616217768638,0.0,2.57828757196,2.0,2.57828757196,0.0616217768638
0.3204,68,0.364,control,0.6,0.0600564532295,0.0,2.52169353118,2.0,2.52169353118,0.0600564532295
0.068,69,0.0164,control,0.6,0.0588075869673,0.0,2.52899726115,3.0,2.68484944897,0.0908409942565
0.4092,70,0.4216,control,0.6,0.0585889418275,0.0,2.49373078829,2.0,2.49373078829,0.0585889418275
0.5024,71,0.0236,control,0.6,0.0578471082194,0.0,2.48724453985,5.0,2.90129753549,0.157352503636
0.5224,72,0.3584,control,0.6,0.0599078650154,0.0,2.55529863497,3.0,2.63582593038,0.0903233769425
0.0132,73,0.0392,control,0.6,0.0599796786587,0.0,2.58009744171,2.0,2.58009744171,0.0599796786587
0.2968,74,0.054,control,0.6,0.0587739173443,0.0,2.50190073043,3.0,2.62846445223,0.0892393022697
0.6472,75,0.2248,control,0.6,0.0586025634571,0.0,2.4952269222,3.0,2.58572105973,0.0875567982776
0.7924,76,0.022,control,0.6,0.0593913668977,0.0,2.50718392823,3.0,2.65182335817,0.0909298831868
0.0544,77,0.088,control,0.6,0.0610017140689,0.0,2.56953510219,2.0,2.56953510219,0.0610017140689
0.6652,78,0.0488,control,0.6,0.0582683638464,0.0,2.50823920218,4.0,2.79994755782,0.122755404577
0.3348,79,0.0152,control,0.6,0.0594853476701,0.0,2.52240658655,3.0,2.68202522036,0.0918988548792
0.324,80,0.0092,control,0.6,0.0603258635644,0.0,2.58692570457,3.0,2.76145052793,0.0949710476439
0.0088,81,0.0332,control,0.6,0.0589794492104,0.0,2.52322349353,2.0,2.52322349353,0.0589794492104
0.3648,82,0.4096,control,0.6,0.0597183801279,0.0,2.53419296393,2.0,2.53419296393,0.0597183801279
0.436,83,0.1316,control,0.6,0.0583512793976,0.0,2.49224199177,3.0,2.59642961087,0.0876154574312
0.5464,84,0.3284,control,0.6,0.0601107281025,0.0,2.53134955573,3.0,2.61440352242,0.0902479004809
0.7488,85,0.76,control,0.6,0.0609991201522,0.0,2.59066244325,2.0,2.59066244325,0.0609991201522
0.4012,86,0.0124,control,0.6,0.058437021059,0.0,2.52944320579,6.0,2.81600176506,0.187306280373
0.9128,87,0.0,control,0.6,0.0586106304177,0.0,2.51369825284,4.0,2.59716134607,0.118065564016
0.718,88,0.034,control,0.6,0.0596384458506,0.0,2.55174606147,3.0,2.69005383919,0.0919268100201
0.5144,89,0.0924,control,0.6,0.0594837096325,0.0,2.54084624753,5.0,2.92742095726,0.162896802268
0.624,90,0.6404,control,0.6,0.0614908739797,0.0,2.60584215023,2.0,2.60584215023,0.0614908739797
0.4916,91,0.0004,control,0.6,0.0578041442952,0.0,2.51728997173,3.0,2.76661124602,0.0923422490997
0.5124,92,0.5276,control,0.6,0.0595952598942,0.0,2.54143344204,2.0,2.54143344204,0.0595952598942
0.3364,93,0.0444,control,0.6,0.0604579750769,0.0,2.56374759984,3.0,2.70256226046,0.0934402433031
0.724,94,0.0004,control,0.6,0.0576341642845,0.0,2.49293623944,3.0,2.71135310071,0.0905744108919
0.3896,95,0.1076,control,0.6,0.0582021310263,0.0,2.47010794833,3.0,2.57711708092,0.0870817230223
0.9004,96,0.0044,control,0.6,0.0600062657075,0.0,2.55090369957,3.0,2.73684107772,0.0941934325372
0.9036,97,0.2944,control,0.6,0.0591835735507,0.0,2.53763434545,3.0,2.62226096153,0.0890331369762
0.2388,98,0.2816,control,0.6,0.0600347448589,0.0,2.52587489701,2.0,2.52587489701,0.0600347448589
0.3416,99,0.3892,control,0.6,0.0583125844001,0.0,2.51050980868,2.0,2.51050980868,0.0583125844001
0.5424,0,0.0008,control,0.8,0.0586004640277,0.0,2.52361206472,3.0,2.73742443162,0.0924737717289
0.3148,1,0.3716,control,0.8,0.0592939581025,0.0,2.52328936467,2.0,2.52328936467,0.0592939581025
0.2392,2,0.0836,control,0.8,0.0584562574675,0.0,2.4834535112,3.0,2.59885424884,0.0880140296847
0.8528,3,0.0004,control,0.8,0.0595401011576,0.0,2.56512342622,3.0,2.80396885863,0.095610158287
0.1144,4,0.1664,control,0.8,0.0576702238559,0.0,2.50053445317,2.0,2.50053445317,0.0576702238559
0.4152,5,0.0156,control,0.8,0.0578746578181,0.0,2.47892117419,3.0,2.63297863681,0.0884307510817
0.0556,6,0.0092,control,0.8,0.0577062615833,0.0,2.49257443591,3.0,2.65466274073,0.0886992332634
0.0216,7,0.0448,control,0.8,0.0606797000737,0.0,2.56948252449,2.0,2.56948252449,0.0606797000737
0.242,8,0.294,control,0.8,0.0595284609387,0.0,2.52931385161,2.0,2.52931385161,0.0595284609387
0.3564,9,0.048,control,0.8,0.0576815028909,0.0,2.47285626108,5.0,2.80687616822,0.150052898426
0.844,10,0.0104,control,0.8,0.0585420681358,0.0,2.54333591626,4.0,2.80327908092,0.124735422266
0.1328,11,0.0172,control,0.8,0.0581527540547,0.0,2.49170599152,3.0,2.6368001216,0.0887679499341
0.7304,12,0.7452,control,0.8,0.0617556818995,0.0,2.57567779851,2.0,2.57567779851,0.0617556818995
0.8384,13,0.0032,control,0.8,0.0577754834997,0.0,2.48090184223,4.0,2.8112291338,0.124103375339
0.1008,14,0.136,control,0.8,0.0582739218505,0.0,2.49026369444,2.0,2.49026369444,0.0582739218505
0.6772,15,0.0992,control,0.8,0.0596823489554,0.0,2.56431523923,3.0,2.68232783493,0.0915065707888
0.6772,16,0.6892,control,0.8,0.0602078375969,0.0,2.56887346137,2.0,2.56887346137,0.0602078375969
0.5024,17,0.0132,control,0.8,0.0597739837331,0.0,2.516893655,3.0,2.68159513648,0.0924288278986
0.532,18,0.0104,control,0.8,0.0580878670486,0.0,2.4820945969,3.0,2.64044363788,0.0889655473478
0.5832,19,0.0,control,0.8,0.0584638549196,0.0,2.51216961355,3.0,2.78826416504,0.0942497969932
0.6244,20,0.0004,control,0.8,0.0588737300035,0.0,2.50445132962,3.0,2.73602555092,0.0931947345092
0.0952,21,0.1536,control,0.8,0.0578022976975,0.0,2.49617537902,2.0,2.49617537902,0.0578022976975
0.4892,22,0.5116,control,0.8,0.0603331479311,0.0,2.54410431132,2.0,2.54410431132,0.0603331479311
0.1,23,0.0272,control,0.8,0.0582179955577,0.0,2.52148473854,3.0,2.66362529047,0.0893080848871
0.4848,24,0.5116,control,0.8,0.0614047470952,0.0,2.58704842433,2.0,2.58704842433,0.0614047470952
0.7588,25,0.0312,control,0.8,0.0580881731075,0.0,2.48551346313,4.0,2.74985203541,0.120751262358
0.8116,26,0.8244,control,0.8,0.0604487792311,0.0,2.53996156995,2.0,2.53996156995,0.0604487792311
0.2316,27,0.02,control,0.8,0.0580595755099,0.0,2.51289484611,4.0,2.79299553001,0.122854029393
0.006,28,0.0284,control,0.8,0.0584534507802,0.0,2.49827950718,2.0,2.49827950718,0.0584534507802
0.61,29,0.0204,control,0.8,0.0581337405575,0.0,2.50138193167,4.0,2.78236536883,0.122413356113
0.0228,30,0.0592,control,0.8,0.057623224409,0.0,2.48931233869,2.0,2.48931233869,0.057623224409
0.3472,31,0.0052,control,0.8,0.0587227631086,0.0,2.49252887342,3.0,2.66879463375,0.0907704616869
0.0788,32,0.118,control,0.8,0.0585859324266,0.0,2.52210717357,2.0,2.52210717357,0.0585859324266
0.448,33,0.0308,control,0.8,0.059303950801,0.0,2.52700476062,3.0,2.67015363727,0.0911143507739
0.6852,34,0.724,control,0.8,0.0595580857558,0.0,2.54277286191,2.0,2.54277286191,0.0595580857558
0.1032,35,0.1432,control,0.8,0.0596180824792,0.0,2.56717331177,2.0,2.56717331177,0.0596180824792
0.056,36,0.0,control,0.8,0.0570463503896,0.0,2.48430174992,3.0,2.71018344695,0.0897613521327
0.962,37,0.9592,control,0.8,0.0597946484161,0.0,2.54427710795,2.0,2.54427710795,0.0597946484161
0.5328,38,0.5536,control,0.8,0.0601026341491,0.0,2.56958808698,2.0,2.56958808698,0.0601026341491
0.6692,39,0.0136,control,0.8,0.0593428888818,0.0,2.50712245927,4.0,2.76214104734,0.12102434401
0.154,40,0.0224,control,0.8,0.0579216370981,0.0,2.47558141512,3.0,2.61898413405,0.0880611276785
0.6528,41,0.066,control,0.8,0.0598036974167,0.0,2.50937708249,3.0,2.63156632277,0.0907827786346
0.348,42,0.3836,control,0.8,0.0604750263832,0.0,2.56418863247,2.0,2.56418863247,0.0604750263832
0.2852,43,0.0732,control,0.8,0.0584479423721,0.0,2.5140160766,3.0,2.63333843911,0.0887107669182
0.042,44,0.0712,control,0.8,0.0568425647696,0.0,2.45809765708,2.0,2.45809765708,0.0568425647696
0.6912,45,0.6924,control,0.8,0.0611948456484,0.0,2.57093259539,2.0,2.57093259539,0.0611948456484
0.66,46,0.002,control,0.8,0.0598588848662,0.0,2.55171964526,3.0,2.75376222084,0.0945565219065
0.892,47,0.0364,control,0.8,0.0579299357746,0.0,2.47919981854,4.0,2.73823972603,0.11854696538
0.688,48,0.0,control,0.8,0.0581988954222,0.0,2.52765171886,3.0,2.77065753304,0.0929354184855
0.6984,49,0.0056,control,0.8,0.0606312109539,0.0,2.57524506845,3.0,2.76818573814,0.0958933354209
0.5664,50,0.5904,control,0.8,0.0592022391994,0.0,2.51978040459,2.0,2.51978040459,0.0592022391994
0.2096,51,0.2516,control,0.8,0.0595819764273,0.0,2.53993764783,2.0,2.53993764783,0.0595819764273
0.0092,52,0.028,control,0.8,0.0589875781387,0.0,2.51081916515,2.0,2.51081916515,0.0589875781387
0.3636,53,0.0012,control,0.8,0.0573831618343,0.0,2.50514622423,3.0,2.69839314819,0.0895131785117
0.8856,54,0.0396,control,0.8,0.0587921133793,0.0,2.51724664728,3.0,2.65141473757,0.0898251199608
0.4936,55,0.0072,control,0.8,0.0584351422273,0.0,2.50463399425,3.0,2.67634106568,0.0903822529734
0.3256,56,0.0704,control,0.8,0.0587359512345,0.0,2.5237423516,5.0,2.80131767363,0.15169831393
0.24,57,0.2712,control,0.8,0.0597541682908,0.0,2.56391624784,2.0,2.56391624784,0.0597541682908
0.1244,58,0.008,control,0.8,0.057546851873,0.0,2.47167002584,3.0,2.63355961731,0.0880756318637
0.4788,59,0.0984,control,0.8,0.0589377802866,0.0,2.52328795024,3.0,2.63650040235,0.0894115683672
0.2228,60,0.2624,control,0.8,0.0595069499886,0.0,2.52412157507,2.0,2.52412157507,0.0595069499886
0.704,61,0.0452,control,0.8,0.0585173446347,0.0,2.49305258937,6.0,2.88399002994,0.187464014577
0.4176,62,0.4504,control,0.8,0.0609540491549,0.0,2.57067597421,2.0,2.57067597421,0.0609540491549
0.7024,63,0.3924,control,0.8,0.0598741122797,0.0,2.54400929358,3.0,2.62114738607,0.0899250773163
